tricubitus	ADJ	Compound	tres,cubo	
athenodorus	NOUN	Compound		Greek
ratpertus	NOUN	Compound		Germanic
gandolfus	NOUN	Compound		Germanic
melichros	NOUN	Compound		Greek
segimundus	NOUN	Compound		Germanic
homoeomeria	NOUN	Compound		Greek
prompte	VERB	Participle	promo	Adverb
nexum	NOUN	Participle	neo	Misclassified
occasus	NOUN	Participle	cado	Misclassified
incoltus	ADJ	Participle	colo	
illaesus	NOUN	Participle	laedo	Misclassified
solitus	ADJ	Participle	sol-	Misclassified
inmerso	VERB	Participle	mergo	
anhelus	ADJ	Prefix	halo	
subpono	VERB	Prefix	pono	
proneptis	NOUN	Prefix	neptis	
sexagenus	ADJ	Suffix	sex	
aleo	NOUN	Suffix	alea	
quinto	X	Suffix	quinque	Misclassified
crotopiades	NOUN	Suffix		Greek
acetabulum	NOUN	Suffix	ac-	
harmonia	NOUN	Suffix		Greek
matutinum	NOUN	Suffix	matuta	Misclassified
uocetius	NOUN	Suffix		Foreign
horatius	ADJ	Suffix	horat-	
fractensis	ADJ	Suffix	fract-	
poderes	NOUN	Suffix		Greek
pyrrhiades	NOUN	Suffix		Greek
firmamentum	NOUN	Suffix	firmo	
pateo	VERB	Suffix	pat-	
peloponnesii	NOUN	Suffix	peloponnesos	
augustalia	ADJ	Suffix	augustus	
ηδεται	X	Suffix		Greek
lesbides	NOUN	Suffix		Greek
soleo	VERB	Suffix	sol-	
iudaicus	ADJ	Suffix	iuda	
lappatum	NOUN	Suffix	lappa	Misclassified
caerimonia	NOUN	Suffix	caer-	
extrema	NOUN	Suffix	extra	Misclassified
opere	NOUN	Suffix	opus	Misclassified
simpliciter	ADJ	Suffix	sem-,plico	Adverb
uicenus	ADJ	Suffix	uic-	
tantulum	DET	Suffix	tantus	Misclassified
potidaea	NOUN	Suffix		Greek
artorius	NOUN	Suffix	artor-	
leonianus	NOUN	Suffix	leo	Misclassified
messalla	NOUN	Suffix	mitto	Misclassified
adiuualis	ADJ	Suffix	iuuo	
catius	NOUN	Suffix	catus	
ductiuus	ADJ	Suffix	duco	
mentalis	ADJ	Suffix	mens	
incongrue	ADJ	Suffix	congruus	Adverb
coram	ADP	Suffix	os?	Relator
illuminabilis	ADJ	Suffix	lux	
uitta	NOUN	Suffix	vieo	
cxxx	DET	Symbolic		
mecum	NOUN	Univerbation	me,cum	
paederota	NOUN			Greek
priuolus	NOUN			Italian
ortygia	NOUN			Greek
magiulus	NOUN			Italian
puluinus	NOUN			
salpa	NOUN			Greek
sychem	NOUN			Greek
fuga	NOUN			
medium	NOUN			Misclassified
papus	NOUN			Greek
uenerus	NOUN			
arii	NOUN			Germanic
asia	NOUN			Greek
io	NOUN			Greek
turpis	ADJ			
μονοσ	X			Greek
brancalum	NOUN			Italian
babylon	NOUN			Greek
furnus	NOUN			
russus	ADJ			
cythera	NOUN			Greek
hieremia	NOUN			Hebrew
cobares	NOUN			Foreign
damoetas	NOUN			Greek
stimichon	NOUN			Greek
baliscus	NOUN			
procul	PRON			Relator
ansa	NOUN			
uiuus	NOUN			Misclassified
ligur	ADJ			
cercyrus	NOUN			Greek
apelles	NOUN			Greek
spatha	NOUN			Greek
aletes	NOUN			Greek
athenae	NOUN			Greek
omnis	PRON			
sardi	NOUN			
oza	NOUN			Hebrew
quis	PRON			
unda	NOUN			
regini	NOUN			Germanic
phorcis	NOUN			Greek
