intus	ADP	intus	6	AdpType=Prep		
que	CCONJ	que,usque	31536	Gender=Fem,Masc,Neut|Tac=est		
neue	SCONJ	neu,neue,niue	196	Polarity=Neg		
ample	ADJ	ample,amplissime,amplius	708	Degree=Abs,Cmp|Form=Adverbial		
qualis	DET	qualiter	1	Form=Adverbial|PronType=Rel	qualis,quale,qualia,quali,qualibus,qualium,quales,qualem	Number,Case,Gender,InflClass
et	CCONJ	cccxiid,ccxiid,et,liiiilxii,lxxxiid,lxxxixxlu,lxxxuiid,lxxxulxxuiii,uiid,xiid,xiil	60279	Gender=Fem,Masc,Neut|Tac=est		
an	PART	an	2265	PartType=Int|Polarity=Neg		
illic	DET	illi	1	Form=Adverbial	illunc,illisce,illoc,illiusce,illaec,illac,illuc,illanc,illace,illic	PronType,Number,Case,Gender,InflClass,AdvType
qui	PRON	quatenus,ubi	4	AdvType=Loc|Compound=Yes|Form=Adverbial|PronType=Rel	quo,quorum,quem,quarum,quid,quoii,quei,quos,quoiius,quibu,quoiia,quoi,que,quas,quis,qua,cuius,quoius,cui,qui,quae,quod,quibus,queis,quam	ExtPos,Person,Number,Case,Gender,InflClass
in	ADP	endo,im,in,indu,intantum	45357	AdpType=Prep|ExtPos=SCONJ|Gender=Fem,Masc,Neut		
sum	AUX	2foret<potitus>,<benedictum>est,<futuram>fuisse,<maledictum>est,<pessumdatus>sit,<satisdatum>erit,<satisdaturos>esse,<satisfactum>esse,<satisfactum>est,<satisfactum>sit,ademptast,datast,sunt<conati>,sunt<manumissi>	14	_	fuerant,ente,es,ero,sumus,simus,fuat,este,futurae,essendi,essemus,fuissent,esses,forem,eratis,fuerat,fuero,estote,fore,fuam,erunt,ess,sunto,esse,escit,fuerunt,entium,futurus,essent,fuistis,erat,fui,sum,estis,essendum,essendo,futura,eram,fuisse,fuisses,fuant,eramus,fuissemus,fuisti,siem,fueramus,fuerint,esto,futuros,futuram,sim,essem,futuri,fuimus,fuissetis,sumu,fuit,eris,sunt,sies,erimus,est,eras,erant,entia,siet,fuisset,<qui>cumquest,fuerim,sient,essetis,future,sint,fuerit,fueratis,foret,fuere,fueris,fuerimus,ualentulast,sitis,opust,fueritis,sis,ens,erit,futurum,meast,fuas,futuris,fueras,esset,futuro,forent,haudquaquamst,futuras,iuriiurandost,sit,fueram,eritis,fuissem,fores	TraditionalMood,Tac,Person,Aspect,TraditionalTense,Mood,InflClass[nominal],Number,VerbForm,Case,InflClass,Gender,Tense
ne	PART	ne,ni,sicin,tun	3604	PartType=Emp,Int,Neg|Polarity=Neg		
aut	CCONJ	aut	7602	_		
non	PART	noenum,non	33010	Gender=Fem,Neut|PartType=Neg|Polarity=Neg		
nec	CCONJ	dum,nec,necnon	8107	Polarity=Neg		
quis	ADV	quid	44	PronType=Int		
ab	ADP	a,ab,abs,aps	14491	AdpType=Prep|Gender=Fem,Masc,Neut|Tac=est		
hinc	DET	hinc	1087	AdvType=Loc|Case=Loc|Form=Adverbial|PronType=Dem		
unus	DET	unis	8	Case=Abl,Dat|Gender=Fem,Masc,Neut|Number=Plur|NumType=Card	unam,duae,unius,primum,una,unum,duabus,unus,unas,unae,une,duo,duas,unos,uno,uni	NumForm,NumValue,PronType,InflClass
at	CCONJ	ast,at	2416	Gender=Masc		
atque	CCONJ	ac,atque	7371	Form=Emp		
circa	ADP	circa	521	AdpType=Prep		
tamen	PART	tamen	4969	ExtPos=SCONJ|Form=Emp|Gender=Fem|PronType=Dem		
sed	CCONJ	sed,set	13700	Gender=Fem,Masc		
tam	DET	tam	2668	Form=Adverbial|PronType=Dem		
sortior	VERB	sortiebatur	1	Aspect=Imp|Lilaflcat=LatI|Mood=Ind|Number=Sing|Person=3|Tense=Past|TraditionalMood=Indicativus|TraditionalTense=Imperfectum|Voice=Pass	sortiti,sortirentur,sortiri,sortiremur,sortitas,sortitis,sortiretur,sortiar,sortitum,sortitae,sortientur,sortiuntur,sortientium,sortiendam,sortiebantur,sortiantur,sortita,sortiendo,sortite,sortitus,sortire,sortiere,sortiturus,sortiturum,sortitur,sortiente,sortietur,sortiatur	Tac,InflClass[nominal],VerbForm,Case,Gender,InflClass
